Date,Item_Code,Item_Description,Supplier,Purchase_Order_No,Document_Number,Historical_Demand_Quantity (TON),Units_Sold/Used (TON),Current_Stock_Level (TON),Safety_Stock_Target (TON),Material_Type,Voltage_Level,Supplier_Country_Of_Origin,Price_Per_Unit (USD),Delivery_Lead_Time (Days),Payment_Terms,Market_Trends (Index),Number_Of_Alternative_Suppliers,Supplier_Performance_Score (1-10),Risk_Score (1-10)
2019-02-01,MICA-TAPE-EHV,Mica Tape Extra High Voltage,USATape Solutions Inc,PO-2019-MICA-1757,DOC-356736,6.87,5.75,22.09,9.84,Mica Tape,EHV,USA,5.53,40,Net 45,111.0,3,8,4.6
2019-02-01,WB-TAPE-LV,Water Blocking Tape LV,IndiaScreen Technologies,PO-2019-WB-T-4185,DOC-853240,27.08,27.66,64.81,44.9,Water Blocking Tape,LV,India,2.51,46,Net 45,106.7,4,7,4.4
2019-02-01,WB-TAPE-MV,Water Blocking Tape MV,Ankara Insulation Tech,PO-2019-WB-T-2746,DOC-916232,24.56,23.87,61.06,22.4,Water Blocking Tape,MV,Turkey,2.82,26,Net 45,102.5,4,7,3.5
2019-02-01,WB-TAPE-HV,Water Blocking Tape HV,Shanghai Cable Materials,PO-2019-WB-T-2988,DOC-578634,24.88,23.37,43.52,32.4,Water Blocking Tape,HV,China,2.47,45,Net 30,111.6,4,8,4.0
2019-02-01,SEMI-11KV-LAY,Semiconductor Layer 11KV,Tokyo Polymer Industries,PO-2019-SEMI-6198,DOC-891937,32.01,30.08,79.49,51.45,Semiconductor,11KV,Japan,7.38,45,Net 45,106.2,3,9,4.5
2019-02-01,SEMI-22KV-LAY,Semiconductor Layer 22KV,JapanSemi Advanced Materials,PO-2019-SEMI-8305,DOC-266889,26.7,27.41,81.27,42.82,Semiconductor,22KV,Japan,7.71,41,Net 60,105.2,3,10,4.1
2019-02-01,SEMI-33KV-LAY,Semiconductor Layer 33KV,Tokyo Polymer Industries,PO-2019-SEMI-5543,DOC-903013,29.39,25.33,74.09,40.99,Semiconductor,33KV,Japan,7.99,42,Net 60,111.8,3,9,4.4
2019-02-01,SEMI-66KV-LAY,Semiconductor Layer 66KV,JapanSemi Advanced Materials,PO-2019-SEMI-5681,DOC-345884,19.89,16.3,43.14,28.56,Semiconductor,66KV,Japan,7.95,36,Net 45,111.7,3,10,3.8
2019-03-01,XLPE-0.6KV-INS,XLPE Insulation 0.6KV,Shanghai Cable Materials,PO-2019-XLPE-7275,DOC-827659,53.62,44.92,116.12,90.48,XLPE,0.6KV,China,3.86,45,Net 30,107.0,7,8,3.2
2019-03-01,XLPE-11KV-INS,XLPE Insulation 11KV,Tokyo Polymer Industries,PO-2019-XLPE-8633,DOC-535970,49.43,43.63,124.9,60.75,XLPE,11KV,Japan,3.44,36,Net 30,115.5,7,9,2.5
2019-03-01,XLPE-22KV-INS,XLPE Insulation 22KV,Nordic Polymers AB,PO-2019-XLPE-1320,DOC-998348,42.99,42.67,127.36,43.19,XLPE,22KV,Sweden,3.87,31,Net 60,110.1,7,10,2.0
2019-03-01,XLPE-33KV-INS,XLPE Insulation 33KV,Shanghai Cable Materials,PO-2019-XLPE-7389,DOC-994905,38.92,34.04,125.46,49.43,XLPE,33KV,China,3.59,37,Net 45,109.3,7,8,2.9
2019-03-01,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced Materials,PO-2019-XLPE-8999,DOC-330080,29.08,29.79,103.02,43.05,XLPE,66KV,Japan,3.27,41,Net 45,120.5,7,10,2.5
2019-03-01,XLPE-132KV-INS,XLPE Insulation 132KV,JapanSemi Advanced Materials,PO-2019-XLPE-7624,DOC-859359,19.83,19.18,40.03,26.74,XLPE,132KV,Japan,3.82,33,Net 30,114.0,7,10,2.1
2019-03-01,PE-LV-JKT,PE Jacket Low Voltage,Tokyo Polymer Industries,PO-2019-PE-L-7455,DOC-720644,27.3,25.49,105.48,34.84,PE,LV,Japan,2.8,37,Net 60,105.5,7,9,2.6
2019-03-01,PE-MV-INS,PE Insulation Medium Voltage,Mumbai Cable Supplies,PO-2019-PE-M-8564,DOC-290556,20.47,17.07,53.28,38.4,PE,MV,India,3.02,48,Net 30,109.3,7,6,4.0
2019-03-01,PE-HV-JKT,PE Jacket High Voltage,Nordic Polymers AB,PO-2019-PE-H-7211,DOC-391773,16.5,14.55,36.03,19.8,PE,HV,Sweden,2.89,30,Net 45,107.2,7,10,2.0
2019-03-01,PE-FOAM-LV,Foam PE Low Voltage,Nordic Polymers AB,PO-2019-PE-F-1853,DOC-466960,14.7,14.51,41.51,15.11,PE,LV,Sweden,2.85,26,Net 30,107.5,7,10,1.8
2019-03-01,PVC-LV-INS-A,PVC Insulation LV Grade A,TurkCable Materials Ltd,PO-2019-PVC--5051,DOC-309044,28.67,23.16,61.54,33.9,PVC,LV,Turkey,1.95,30,Net 30,103.0,6,8,2.6
2019-03-01,PVC-LV-INS-B,PVC Insulation LV Grade B,TurkCable Materials Ltd,PO-2019-PVC--4571,DOC-587623,25.88,25.04,54.48,23.94,PVC,LV,Turkey,2.25,23,Net 45,117.4,6,8,2.3
2019-03-01,PVC-LV-JKT,PVC Jacket Low Voltage,Mumbai Cable Supplies,PO-2019-PVC--2876,DOC-915573,35.69,37.15,100.83,62.72,PVC,LV,India,2.2,49,Net 30,105.0,6,6,4.0
2019-03-01,PVC-MV-INS,PVC Insulation Medium Voltage,ItalCavi Materials SpA,PO-2019-PVC--7149,DOC-515922,26.32,27.17,71.56,27.9,PVC,MV,Italy,2.26,29,Net 60,105.9,6,9,2.2
2019-03-01,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials Ltd,PO-2019-LSF--2669,DOC-831059,16.24,15.54,62.91,16.31,LSF,LV,Turkey,2.97,29,Net 45,112.0,5,8,2.5
2019-03-01,LSF-MV-JKT,LSF Jacket Medium Voltage,FrenchPoly Solutions,PO-2019-LSF--1672,DOC-464069,13.26,13.25,39.47,17.94,LSF,MV,France,3.05,39,Net 45,110.1,5,8,3.0
2019-03-01,LSF-HV-JKT,LSF Jacket High Voltage,ItalCavi Materials SpA,PO-2019-LSF--7882,DOC-962276,10.34,9.15,24.56,10.73,LSF,HV,Italy,3.01,29,Net 45,112.5,5,9,2.2
2019-03-01,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,TurkCable Materials Ltd,PO-2019-GSW--3506,DOC-556641,23.86,24.03,82.64,20.0,GSW,MV,Turkey,4.92,25,Net 30,106.2,3,8,4.0
2019-03-01,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,Seoul Metal Works,PO-2019-GSW--9817,DOC-912270,17.93,17.97,44.55,27.98,GSW,HV,South Korea,4.94,43,Net 45,106.0,3,9,4.4
2019-03-01,GSW-EHV-SHLD,Galvanized Steel Wire Shield EHV,MetalShield Korea,PO-2019-GSW--2419,DOC-392477,12.81,12.98,27.46,25.15,GSW,EHV,South Korea,3.49,44,Net 45,107.4,3,9,4.5
2019-03-01,GST-MV-TAPE,Galvanized Steel Tape MV,MetalShield Korea,PO-2019-GST--6511,DOC-130094,17.55,16.97,51.46,34.58,GST,MV,South Korea,3.9,42,Net 45,119.4,1,9,6.0
2019-03-01,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Korea,PO-2019-GST--5232,DOC-456871,20.4,18.13,49.93,28.64,GST,HV,South Korea,3.53,37,Net 45,112.5,1,9,5.8
2019-03-01,CU-SCR-11KV,Copper Screen Tape 11KV,Seoul Metal Works,PO-2019-CU-S-4130,DOC-189771,10.24,9.51,38.58,18.5,Copper Screen,11KV,South Korea,9.3,37,Net 90,107.7,2,9,5.0
2019-03-01,CU-SCR-33KV,Copper Screen Tape 33KV,Seoul Metal Works,PO-2019-CU-S-8800,DOC-777278,8.05,6.92,28.36,16.73,Copper Screen,33KV,South Korea,8.42,40,Annual Contract,116.2,2,9,5.1
2019-03-01,CU-SCR-66KV,Copper Screen Tape 66KV,MetalShield Korea,PO-2019-CU-S-4986,DOC-421080,6.54,5.59,12.48,11.62,Copper Screen,66KV,South Korea,8.5,35,Annual Contract,110.2,2,9,4.9
2019-03-01,AL-SCR-11KV,Aluminum Screen Tape 11KV,Seoul Metal Works,PO-2019-AL-S-6419,DOC-468900,10.56,9.36,33.24,17.82,Aluminum Screen,11KV,South Korea,5.03,40,Annual Contract,109.3,3,9,4.3
2019-03-01,AL-SCR-33KV,Aluminum Screen Tape 33KV,Seoul Metal Works,PO-2019-AL-S-4155,DOC-430876,10.28,8.53,26.7,14.92,Aluminum Screen,33KV,South Korea,5.81,37,Net 90,104.4,3,9,4.2
2019-03-01,AL-SCR-66KV,Aluminum Screen Tape 66KV,IndiaScreen Technologies,PO-2019-AL-S-5530,DOC-859782,5.78,5.69,16.26,13.82,Aluminum Screen,66KV,India,5.65,47,Net 120,106.3,3,7,5.2
2019-03-01,MICA-TAPE-MV,Mica Tape Medium Voltage,USATape Solutions Inc,PO-2019-MICA-5952,DOC-114835,10.81,9.62,26.97,14.76,Mica Tape,MV,USA,6.57,40,Net 30,110.3,3,8,4.6
2019-03-01,MICA-TAPE-HV,Mica Tape High Voltage,IndiaScreen Technologies,PO-2019-MICA-3068,DOC-768854,10.09,9.83,37.58,15.06,Mica Tape,HV,India,5.88,45,Net 45,114.9,3,7,5.1
2019-03-01,MICA-TAPE-EHV,Mica Tape Extra High Voltage,IndiaScreen Technologies,PO-2019-MICA-8216,DOC-457256,6.53,5.99,23.29,11.29,Mica Tape,EHV,India,5.54,45,Net 30,113.4,3,7,5.1
2019-03-01,WB-TAPE-LV,Water Blocking Tape LV,USATape Solutions Inc,PO-2019-WB-T-2070,DOC-520172,27.65,25.42,64.47,39.2,Water Blocking Tape,LV,USA,2.26,41,Net 45,99.8,4,8,3.9
2019-03-01,WB-TAPE-MV,Water Blocking Tape MV,Shanghai Cable Materials,PO-2019-WB-T-5978,DOC-189318,21.73,18.21,74.34,41.53,Water Blocking Tape,MV,China,2.8,47,Net 30,110.4,4,8,4.1
2019-03-01,WB-TAPE-HV,Water Blocking Tape HV,Shanghai Cable Materials,PO-2019-WB-T-4697,DOC-913373,21.93,21.88,47.95,30.83,Water Blocking Tape,HV,China,2.16,43,Net 45,109.7,4,8,3.9
2019-03-01,SEMI-11KV-LAY,Semiconductor Layer 11KV,JapanSemi Advanced Materials,PO-2019-SEMI-8025,DOC-420214,30.15,28.56,73.31,44.8,Semiconductor,11KV,Japan,6.26,40,Net 60,109.6,3,10,4.0
2019-03-01,SEMI-22KV-LAY,Semiconductor Layer 22KV,JapanSemi Advanced Materials,PO-2019-SEMI-4404,DOC-755900,22.54,18.59,86.89,43.86,Semiconductor,22KV,Japan,7.72,42,Net 30,105.3,3,10,4.1
2019-03-01,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Polymers AB,PO-2019-SEMI-2229,DOC-264136,23.15,19.53,41.89,24.34,Semiconductor,33KV,Sweden,7.46,26,Net 30,114.8,3,10,3.4
2019-03-01,SEMI-66KV-LAY,Semiconductor Layer 66KV,JapanSemi Advanced Materials,PO-2019-SEMI-5720,DOC-841296,18.1,14.63,53.4,33.74,Semiconductor,66KV,Japan,7.18,42,Net 45,106.0,3,10,4.1
2019-04-01,XLPE-0.6KV-INS,XLPE Insulation 0.6KV,Tokyo Polymer Industries,PO-2019-XLPE-5334,DOC-926097,49.09,42.14,84.15,82.99,XLPE,0.6KV,Japan,3.34,42,Net 60,102.7,7,9,2.8
2019-04-01,XLPE-11KV-INS,XLPE Insulation 11KV,Tokyo Polymer Industries,PO-2019-XLPE-3441,DOC-378535,52.96,49.58,140.58,64.41,XLPE,11KV,Japan,3.3,38,Net 30,109.7,7,9,2.6
