Date,Item_Code,Item_Description,Supplier,Purchase_Order_No,Document_Number,Historical_Demand_Quantity (TON),Units_Sold/Used (TON),Current_Stock_Level (TON),Safety_Stock_Target (TON),Material_Type,Voltage_Level,Supplier_Country_Of_Origin,Price_Per_Unit (USD),Delivery_Lead_Time (Days),Payment_Terms,Market_Trends (Index),Number_Of_Alternative_Suppliers,Supplier_Performance_Score (1-10),Risk_Score (1-10)
2/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced,PO-2022-XLPE-9317,DOC-211579,30.76,29.66,87.32,41.27,XLPE,66KV,Japan,3.53,37,Net 60,98.7,3,10,3.9
2/1/2022,PE-LV-JKT,PE Jacket Low Voltage,PolyTech Europe,PO-2022-PE-L-7126,DOC-899550,24.65,21.69,65.13,41.83,PE,LV,Germany,3.13,40,Net 30,106.1,2,9,5.1
2/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-9005,DOC-120422,18.52,17.41,49.98,31.67,PE,MV,Germany,3.01,38,Net 30,110.3,2,9,5
2/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,TurkCable Materials,PO-2022-PVC--2290,DOC-189814,28.59,25.33,68.96,28.68,PVC,LV,Turkey,2.22,24,Net 45,113.5,3,8,3.9
2/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,TurkCable Materials,PO-2022-PVC--8787,DOC-676510,29.92,26.01,78.69,35.99,PVC,LV,Turkey,2.13,28,Net 30,101.3,3,8,4.1
2/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,ChinaPoly Industries,PO-2022-LSF--9835,DOC-891952,15.59,13.75,39.26,31.97,LSF,LV,China,3,49,Net 30,107.5,2,7,6.1
2/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--8177,DOC-642717,17.31,16.4,48.57,34.44,GSW,MV,South Korea,4.08,41,Net 45,104.6,2,9,5.2
2/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,TurkCable Materials,PO-2022-GSW--4770,DOC-717024,15.86,13.53,34.72,15.15,GSW,HV,Turkey,4.83,23,Net 30,109.5,2,8,4.7
2/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--1514,DOC-446479,18.62,16.02,37.91,35.24,GST,HV,South Korea,3.22,45,Net 30,108.5,1,9,6.1
2/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-3167,DOC-858490,12.16,10.73,44.45,20.2,Copper Screen,11KV,South Korea,8.37,39,Annual Contract,110.2,1,9,5.9
2/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,IndiaScreen Tech,PO-2022-AL-S-4119,DOC-198907,10.03,9.74,23.03,20.88,Aluminum Screen,33KV,India,6,48,Net 90,112.4,2,7,6.1
2/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,USATape Solutions,PO-2022-MICA-1887,DOC-806073,8.68,7.99,18.17,14.28,Mica Tape,HV,USA,6.67,42,Net 30,101.7,2,8,5.5
2/1/2022,WB-TAPE-MV,Water Blocking Tape MV,IndiaScreen Tech,PO-2022-WB-T-4139,DOC-299448,25.29,21.91,94.1,47.85,Water Blocking Tape,MV,India,2.3,50,Net 45,105.8,2,7,6.1
2/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,Nordic Cables Supply,PO-2022-SEMI-2235,DOC-564656,30.84,27.37,64.96,30.62,Semiconductor,11KV,Sweden,6.57,27,Net 60,109,2,10,4.3
2/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-2528,DOC-890170,23.38,22.8,75.1,34.44,Semiconductor,33KV,Sweden,6.95,35,Net 30,116.4,2,10,4.6
3/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,PolyTech Europe,PO-2022-XLPE-1960,DOC-272634,42.76,41.89,100.98,67.16,XLPE,11KV,Germany,3.73,37,Net 45,103.8,3,9,4.2
3/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,PolyTech Europe,PO-2022-XLPE-8454,DOC-399105,36.8,35.61,99.7,50.61,XLPE,33KV,Germany,3.05,36,Net 45,110.9,3,9,4.1
3/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced,PO-2022-XLPE-4111,DOC-411120,29.49,27.22,87.7,46.11,XLPE,66KV,Japan,3.15,41,Net 30,103.4,3,10,4.1
3/1/2022,PE-LV-JKT,PE Jacket Low Voltage,ChinaPoly Industries,PO-2022-PE-L-6138,DOC-159942,26.73,22.96,76.38,53.29,PE,LV,China,2.86,49,Net 30,111.7,2,7,6.1
3/1/2022,PE-MV-INS,PE Insulation Medium Voltage,ChinaPoly Industries,PO-2022-PE-M-1931,DOC-632496,18.91,17.58,57.13,41.76,PE,MV,China,2.87,48,Net 30,106.4,2,7,6.1
3/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,TurkCable Materials,PO-2022-PVC--4853,DOC-523389,36.06,34.3,100.23,24.99,PVC,LV,Turkey,1.99,21,Net 30,113.3,3,8,3.8
3/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,TurkCable Materials,PO-2022-PVC--2343,DOC-539589,29.21,27.43,73.36,37.27,PVC,LV,Turkey,2.4,29,Net 45,105.9,3,8,4.1
3/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials,PO-2022-LSF--5351,DOC-515011,16.76,15.04,47.52,14.2,LSF,LV,Turkey,3.2,23,Net 30,119.5,2,8,4.7
3/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--2188,DOC-109767,19.82,19.61,43.2,32.63,GSW,MV,South Korea,3.9,39,Net 45,105.9,2,9,5.1
3/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,MetalShield Corp,PO-2022-GSW--4492,DOC-630458,16.11,13.87,50.74,29.69,GSW,HV,South Korea,4.29,44,Net 45,114.1,2,9,5.3
3/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--7054,DOC-398830,18.34,18.01,64.35,31.08,GST,HV,South Korea,3.72,40,Net 30,123.6,1,9,5.9
3/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-9666,DOC-108203,12.94,12.19,30.49,22.36,Copper Screen,11KV,South Korea,7.77,43,Annual Contract,112.4,1,9,6
3/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,IndiaScreen Tech,PO-2022-AL-S-3200,DOC-377312,9.9,8.57,32.13,21.32,Aluminum Screen,33KV,India,5.71,49,Net 90,109.6,2,7,6.1
3/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,USATape Solutions,PO-2022-MICA-4450,DOC-852470,7.41,6.61,12.34,15.36,Mica Tape,HV,USA,5.79,45,Net 45,114.3,2,8,5.6
3/1/2022,WB-TAPE-MV,Water Blocking Tape MV,IndiaScreen Tech,PO-2022-WB-T-5114,DOC-987204,22.93,21.23,53.19,53.24,Water Blocking Tape,MV,India,2.53,55,Net 30,111.9,2,7,6.4
3/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,Nordic Cables Supply,PO-2022-SEMI-6464,DOC-908577,26.28,22.51,76.07,35.3,Semiconductor,11KV,Sweden,7.53,31,Net 30,104.3,2,10,4.4
3/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,JapanSemi Advanced,PO-2022-SEMI-8007,DOC-688153,25.55,23.41,59.87,36.56,Semiconductor,33KV,Japan,8.15,37,Net 30,115.3,2,10,4.7
4/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,PolyTech Europe,PO-2022-XLPE-3426,DOC-550664,37.56,36.63,82.16,57.6,XLPE,11KV,Germany,3.64,32,Net 30,111.2,3,9,4
4/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,PolyTech Europe,PO-2022-XLPE-1653,DOC-475190,35.48,34.39,162.3,49.2,XLPE,33KV,Germany,3.66,35,Net 30,114.3,3,9,4.1
4/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced,PO-2022-XLPE-7658,DOC-750810,29.51,28.54,68.12,48.36,XLPE,66KV,Japan,3.41,43,Net 60,112.5,3,10,4.1
4/1/2022,PE-LV-JKT,PE Jacket Low Voltage,PolyTech Europe,PO-2022-PE-L-3900,DOC-532322,23.62,23.54,65.26,34.1,PE,LV,Germany,2.69,33,Net 30,109.1,2,9,4.8
4/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-5065,DOC-379766,25.17,22.95,50.42,29.05,PE,MV,Germany,2.95,35,Net 30,100.6,2,9,4.9
4/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,TurkCable Materials,PO-2022-PVC--8711,DOC-333238,29.14,24.94,80.77,24.99,PVC,LV,Turkey,2.21,21,Net 30,103.3,3,8,3.8
4/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,TurkCable Materials,PO-2022-PVC--4728,DOC-333752,30.22,29.41,78.25,34.7,PVC,LV,Turkey,2.07,27,Net 30,109.7,3,8,4.1
4/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials,PO-2022-LSF--5573,DOC-468203,15.5,15.18,32.56,16.12,LSF,LV,Turkey,3.51,26,Net 45,111.8,2,8,4.8
4/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--5279,DOC-287241,16.33,13.95,39.13,36.12,GSW,MV,South Korea,3.98,43,Net 60,112.9,2,9,5.2
4/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,MetalShield Corp,PO-2022-GSW--6663,DOC-863934,15.05,14.14,30.15,26.1,GSW,HV,South Korea,4.37,39,Net 45,113,2,9,5.1
4/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--4114,DOC-367095,16.26,16.01,32.67,33.54,GST,HV,South Korea,3.66,43,Net 30,105.4,1,9,6
4/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-4228,DOC-481913,14.43,14.01,38.57,17.99,Copper Screen,11KV,South Korea,7.64,35,Net 120,113.2,1,9,5.7
4/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Corp,PO-2022-AL-S-3041,DOC-854717,12.36,11.66,41.69,18.98,Aluminum Screen,33KV,South Korea,4.83,45,Net 120,106.2,2,9,5.3
4/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,USATape Solutions,PO-2022-MICA-5844,DOC-681343,9.17,8.35,19.74,16.11,Mica Tape,HV,USA,6.21,47,Net 30,112.5,2,8,5.7
4/1/2022,WB-TAPE-MV,Water Blocking Tape MV,IndiaScreen Tech,PO-2022-WB-T-3851,DOC-745414,19.04,18.12,55.48,53.24,Water Blocking Tape,MV,India,1.85,55,Net 45,103.5,2,7,6.4
4/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,Nordic Cables Supply,PO-2022-SEMI-6279,DOC-587575,26.37,23.25,49.38,28.23,Semiconductor,11KV,Sweden,8.48,25,Net 45,101.5,2,10,4.2
4/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-3780,DOC-790855,22.12,21.44,56.64,27.22,Semiconductor,33KV,Sweden,8.36,28,Net 30,101.5,2,10,4.3
5/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,PolyTech Europe,PO-2022-XLPE-4848,DOC-805477,46.45,41.82,122.49,72.9,XLPE,11KV,Germany,3.23,40,Net 45,107.3,3,9,4.3
5/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,PolyTech Europe,PO-2022-XLPE-8784,DOC-740967,32.82,28.12,64.13,46.2,XLPE,33KV,Germany,3.52,33,Net 30,103.1,3,9,4
5/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,Nordic Cables Supply,PO-2022-XLPE-7291,DOC-618392,25.96,24.86,73.51,38.87,XLPE,66KV,Sweden,3.94,35,Net 45,98.8,3,10,3.8
5/1/2022,PE-LV-JKT,PE Jacket Low Voltage,PolyTech Europe,PO-2022-PE-L-2746,DOC-916232,31.31,30.81,59.51,41.83,PE,LV,Germany,2.77,40,Net 45,107.9,2,9,5.1
5/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-2988,DOC-578634,21.16,19.76,47.28,31.67,PE,MV,Germany,2.75,38,Net 30,102.5,2,9,5
5/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,TurkCable Materials,PO-2022-PVC--6198,DOC-891937,28.97,27.05,82.67,36.3,PVC,LV,Turkey,2.26,30,Net 45,101.5,3,8,4.2
5/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,ChinaPoly Industries,PO-2022-PVC--8305,DOC-266889,35.67,35.17,90.55,64.77,PVC,LV,China,2.34,48,Net 45,108.1,3,7,5.3
5/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,ChinaPoly Industries,PO-2022-LSF--9540,DOC-608136,14.29,12.74,37.17,27.74,LSF,LV,China,3.18,43,Net 30,108.1,2,7,5.8
5/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,TurkCable Materials,PO-2022-GSW--6502,DOC-435239,20.6,18.23,56.88,17.22,GSW,MV,Turkey,4.63,21,Net 30,102,2,8,4.6
5/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,TurkCable Materials,PO-2022-GSW--4505,DOC-167348,17.37,15.16,40.14,15.15,GSW,HV,Turkey,4.13,23,Net 45,110.5,2,8,4.7
5/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--7883,DOC-508396,20.18,17.34,55.83,33.54,GST,HV,South Korea,4.2,43,Net 60,105.1,1,9,6
5/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-7232,DOC-600149,13.19,12.73,35.93,17.99,Copper Screen,11KV,South Korea,8.72,35,Net 90,104.3,1,9,5.7
5/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,IndiaScreen Tech,PO-2022-AL-S-7865,DOC-664365,10.36,10.13,31.07,21.32,Aluminum Screen,33KV,India,5.14,49,Net 90,115.5,2,7,6.1
5/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,USATape Solutions,PO-2022-MICA-6507,DOC-801364,7.36,6.29,14.66,13.94,Mica Tape,HV,USA,6.56,41,Net 45,109,2,8,5.5
5/1/2022,WB-TAPE-MV,Water Blocking Tape MV,USATape Solutions,PO-2022-WB-T-9751,DOC-128276,21.18,21.12,67.66,41.3,Water Blocking Tape,MV,USA,2.5,44,Net 45,100.5,2,8,5.6
5/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,JapanSemi Advanced,PO-2022-SEMI-3223,DOC-584125,26.01,24.62,47.37,49.97,Semiconductor,11KV,Japan,8.09,43,Net 30,104.3,2,10,4.9
5/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-6529,DOC-898207,20.25,18.59,44.86,30.26,Semiconductor,33KV,Sweden,7.75,31,Net 45,102.2,2,10,4.4
6/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,PolyTech Europe,PO-2022-XLPE-1317,DOC-885408,37.88,32.66,88.43,65.07,XLPE,11KV,Germany,3.57,36,Net 60,97.5,3,9,4.1
6/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,PolyTech Europe,PO-2022-XLPE-1659,DOC-890870,30.37,26.13,69.9,49.2,XLPE,33KV,Germany,3.09,35,Net 30,93,3,9,4.1
6/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced,PO-2022-XLPE-4908,DOC-232352,23.58,22.24,64.81,39.98,XLPE,66KV,Japan,3.59,36,Net 45,107.4,3,10,3.8
6/1/2022,PE-LV-JKT,PE Jacket Low Voltage,ChinaPoly Industries,PO-2022-PE-L-5198,DOC-904150,28.24,25.97,81.25,53.29,PE,LV,China,2.8,49,Net 45,95,2,7,6.1
6/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-3683,DOC-426147,20.69,19.82,58.66,32.63,PE,MV,Germany,2.87,39,Net 30,95.9,2,9,5.1
6/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,ChinaPoly Industries,PO-2022-PVC--7149,DOC-515922,32.59,32.14,103.25,55.22,PVC,LV,China,2.18,44,Net 30,102,3,7,5.1
6/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,PolyTech Europe,PO-2022-PVC--5941,DOC-991597,35.19,33.59,74.18,51.84,PVC,LV,Germany,2.24,40,Net 60,100.1,3,9,4.3
6/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials,PO-2022-LSF--1672,DOC-464069,15.88,14.85,39.26,12.92,LSF,LV,Turkey,3.01,21,Net 45,102.5,2,8,4.6
6/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--7882,DOC-962276,23.83,21.48,68.31,29.88,GSW,MV,South Korea,4.92,36,Net 45,96.2,2,9,4.9
6/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,TurkCable Materials,PO-2022-GSW--3506,DOC-556641,18.03,17.57,48.83,16.53,GSW,HV,Turkey,4.94,25,Net 30,96,2,8,4.8
6/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--9817,DOC-912270,17.22,16.72,35.58,35.24,GST,HV,South Korea,3.15,45,Net 45,97.4,1,9,6.1
6/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-2419,DOC-392477,11.49,11.23,26.65,22.97,Copper Screen,11KV,South Korea,8.73,44,Net 120,109.4,1,9,6.1
6/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Corp,PO-2022-AL-S-6511,DOC-130094,11.31,10.75,26.55,17.64,Aluminum Screen,33KV,South Korea,5.1,42,Net 120,102.5,2,9,5.2
6/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,USATape Solutions,PO-2022-MICA-5232,DOC-456871,7.14,6.45,22.64,13.21,Mica Tape,HV,USA,6.57,39,Net 45,97.7,2,8,5.4
6/1/2022,WB-TAPE-MV,Water Blocking Tape MV,USATape Solutions,PO-2022-WB-T-4130,DOC-189771,16.31,15.13,50.15,38.33,Water Blocking Tape,MV,USA,2.48,41,Net 30,106.2,2,8,5.5
6/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,JapanSemi Advanced,PO-2022-SEMI-8800,DOC-777278,21.51,19.06,50.02,46.29,Semiconductor,11KV,Japan,7.5,40,Net 60,100.2,2,10,4.8
6/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-4986,DOC-421080,20.87,18.43,47.76,24.2,Semiconductor,33KV,Sweden,6.86,25,Net 60,99.3,2,10,4.2
7/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,Nordic Cables Supply,PO-2022-XLPE-6419,DOC-468900,43.41,39.14,119.4,56.88,XLPE,11KV,Sweden,3.7,32,Net 60,89.4,3,10,3.7
7/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,Nordic Cables Supply,PO-2022-XLPE-4155,DOC-430876,28.01,24.32,75.15,39.75,XLPE,33KV,Sweden,3.59,29,Net 30,91.3,3,10,3.5
7/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,JapanSemi Advanced,PO-2022-XLPE-5530,DOC-859782,30.44,29.25,67.87,38.87,XLPE,66KV,Japan,3.83,35,Net 60,95.3,3,10,3.8
7/1/2022,PE-LV-JKT,PE Jacket Low Voltage,ChinaPoly Industries,PO-2022-PE-L-4180,DOC-410636,31.62,31.53,103.73,52.2,PE,LV,China,2.74,48,Net 30,99.9,2,7,6.1
7/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-5494,DOC-147726,22.23,20.68,53.97,28.22,PE,MV,Germany,2.58,34,Net 30,98.4,2,9,4.9
7/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,ChinaPoly Industries,PO-2022-PVC--2680,DOC-112861,34.48,33.2,66.96,52.5,PVC,LV,China,1.99,42,Net 45,84.8,3,7,5
7/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,ChinaPoly Industries,PO-2022-PVC--5136,DOC-600935,32.21,32.04,83.51,63.17,PVC,LV,China,2.46,47,Net 30,95.4,3,7,5.2
7/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials,PO-2022-LSF--1878,DOC-259097,18.46,17.29,36.48,16.12,LSF,LV,Turkey,2.59,26,Net 30,94.7,2,8,4.8
7/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--7818,DOC-735770,21.78,19.32,45.19,32.63,GSW,MV,South Korea,3.51,39,Net 60,94.6,2,9,5.1
7/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,MetalShield Corp,PO-2022-GSW--8253,DOC-411797,14.53,13.18,44.38,25.33,GSW,HV,South Korea,4.32,38,Net 60,90.3,2,9,5
7/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--2625,DOC-899787,17.99,15.45,38.87,30.3,GST,HV,South Korea,3.78,39,Net 30,99.8,1,9,5.9
7/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-3847,DOC-678805,11.29,9.86,32.31,20.2,Copper Screen,11KV,South Korea,8.14,39,Net 90,91,1,9,5.9
7/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Corp,PO-2022-AL-S-5771,DOC-134225,10.28,9.65,21.28,17.22,Aluminum Screen,33KV,South Korea,5.26,41,Net 90,89,2,9,5.2
7/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,IndiaScreen Tech,PO-2022-MICA-4824,DOC-377405,9.9,9.09,26.9,17.05,Mica Tape,HV,India,5.66,49,Net 30,96.1,2,7,6.1
7/1/2022,WB-TAPE-MV,Water Blocking Tape MV,IndiaScreen Tech,PO-2022-WB-T-5352,DOC-966785,20.12,17.55,43.28,51.11,Water Blocking Tape,MV,India,2.62,53,Net 30,98.8,2,7,6.3
7/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,Nordic Cables Supply,PO-2022-SEMI-5728,DOC-560485,25.17,23.64,64.22,30.62,Semiconductor,11KV,Sweden,7.33,27,Net 30,83.5,2,10,4.3
7/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-9199,DOC-666211,19.25,19.08,62.63,28.19,Semiconductor,33KV,Sweden,8.49,29,Net 45,93.8,2,10,4.3
